id;Section;Section Title;Title;Description;Impact;Rationale;Remediation;Hive;Path;Name;Type;Value;Command;Result;Fix;Policy Aggiuntive MG;Note
1;4.1;Configure removable disk access;All Removable storage classes: Deny all access;"By inserting a USB stick, the IPC can be infected with a malicious program. Therefore, it is recommended to deny access to various removable disks in the Group Policy settings. It is possible to either deny read and/or write access or to deny ""any access"".";Infect IPC with malware, unwanted installation of programs; Access to removable media (e.g. USB sticks);Preventing access to removable media;HKEY_LOCAL_MACHINE;Software\Policies\Microsoft\Windows\RemovableStorageDevices;DenyAll;REG_DWORD;1;;;;;
2;4.1;Configure removable disk access;WPD-Devices: Deny write access;"By inserting a USB stick, the IPC can be infected with a malicious program. Therefore, it is recommended to deny access to various removable disks in the Group Policy settings. It is possible to either deny read and/or write access or to deny ""any access"".";Infect IPC with malware, unwanted installation of programs; Access to removable media (e.g. USB sticks);Preventing access to removable media;HKEY_CURRENT_USER;Software\Policies\Microsoft\Windows\RemovableStorageDevices\{F33FDC04-D1AC-4E8E-9A30-19BBD4B108AE};DenyWrite;REG_DWORD;1;;;;;
3;4.1;Configure removable disk access;WPD Devices: Deny read access;"By inserting a USB stick, the IPC can be infected with a malicious program. Therefore, it is recommended to deny access to various removable disks in the Group Policy settings. It is possible to either deny read and/or write access or to deny ""any access"".";Infect IPC with malware, unwanted installation of programs; Access to removable media (e.g. USB sticks);Preventing access to removable media;HKEY_CURRENT_USER;Software\Policies\Microsoft\Windows\RemovableStorageDevices\{F33FDC04-D1AC-4E8E-9A30-19BBD4B108AE};DenyRead;REG_DWORD;1;;;;;
4;4.1;Configure removable disk access;Removable Disks: Deny read access;"By inserting a USB stick, the IPC can be infected with a malicious program. Therefore, it is recommended to deny access to various removable disks in the Group Policy settings. It is possible to either deny read and/or write access or to deny ""any access"".";Infect IPC with malware, unwanted installation of programs; Access to removable media (e.g. USB sticks);Preventing access to removable media;HKEY_CURRENT_USER;Software\Policies\Microsoft\Windows\RemovableStorageDevices\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b};DenyRead;REG_DWORD;1;;;;;
5;4.1;Configure removable disk access;Removable Disks: Deny write access;"By inserting a USB stick, the IPC can be infected with a malicious program. Therefore, it is recommended to deny access to various removable disks in the Group Policy settings. It is possible to either deny read and/or write access or to deny ""any access"".";Infect IPC with malware, unwanted installation of programs; Access to removable media (e.g. USB sticks);Preventing access to removable media;HKEY_CURRENT_USER;Software\Policies\Microsoft\Windows\RemovableStorageDevices\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b};DenyWrite;REG_DWORD;1;;;;;
6;4.1;User accounts and their rights;Differentiation between administrator and user account;The basic prerequisite for a secure system is the distribution of access rights according to requirements, i.e. the user should only have the most necessary rights. If more rights are granted than are necessary for the task of the corresponding user, the operational safety of the IPC is unnecessarily endangered. The correct setting of user accounts is crucial for the security of the system. Normal user and administrator should be used separately. This is necessary to prevent the unwanted execution of software.;Unauthorized modification of system parameters;Only one administrator account exists;Operation of the SIMATIC software as a user with restricted rights;;;;;;"$admin_acc = Get-LocalUser ""Triskele""; if($admin_acc.Enabled){ return $true; } else {return $false}";True;"Write-Host ""No fix""";;
7;4.1;User accounts and their rights;Differentiation between administrator and user account;The basic prerequisite for a secure system is the distribution of access rights according to requirements, i.e. the user should only have the most necessary rights. If more rights are granted than are necessary for the task of the corresponding user, the operational safety of the IPC is unnecessarily endangered. The correct setting of user accounts is crucial for the security of the system. Normal user and administrator should be used separately. This is necessary to prevent the unwanted execution of software.;Unauthorized modification of system parameters;Only one administrator account exists;Operation of the SIMATIC software as a user with restricted rights;;;;;;"$user_acc = Get-LocalUser ""MG_Gateway""; if($user_acc.Enabled){return $true}else{return $false}";True;"Write-Host ""No fix""";;
8;4.11;Disable Autoplay function;Set the default behavior for AutoRun;"USB sticks and external hard drives may contain an autoplay file (""autorun.inf""). In this way, viruses, for example, could infect the system. The following table shows how to disable the Autoplay feature and AutoRun (""AutoRun Default Behavior"" policy).";Infect IPC with malware, unwanted installation of programs;Automatic execution of software (Autoplay function);Deactivating Autoplay or Autorun;HKEY_LOCAL_MACHINE;Software\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoDriveTypeAutoRun;REG_DWORD;255;;;;;
9;4.11;Disable Autoplay function;Turn off Autoplay;"USB sticks and external hard drives may contain an autoplay file (""autorun.inf""). In this way, viruses, for example, could infect the system. The following table shows how to disable the Autoplay feature and AutoRun (""AutoRun Default Behavior"" policy).";Infect IPC with malware, unwanted installation of programs;Automatic execution of software (Autoplay function);Deactivating Autoplay or Autorun;HKEY_LOCAL_MACHINE;Software\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoAutorun;REG_DWORD;1;;;;;
10;4.12;Prevent removable disk access for all installations;Prevent removable media source for any installation;If it is not possible for you to prohibit access to USB media in general (see section 4.10), you should prevent software from being installed from removable media. This allows you to prevent malware or other unwanted programs from removable media from being installed on your IPC.;Infect IPC with malware, unwanted installation of programs;Installations of removable media;Disable removable disk installation;HKEY_LOCAL_MACHINE;Software\Policies\Microsoft\Windows\Installer;DisableMedia;REG_DWORD;1;;;;;
11;4.13;Deny access to Microsoft Management Console;Restrict the user from entering author mode;"The graphical user interface ""Microsoft Management Console"" (MMC) is used to manage computers and users. You can configure if and how the MMC can be used.
CAUTION With this setting you deny any IPC user access to the Microsoft Management Console! You may need to restart your computer if you want to make changes to Local Computer Policies or other settings in options that are already disabled (e.g. Control Center). Disable access to this console only if you are absolutely sure that the settings are complete and correct. Later change requests";Change system configuration (group policies, firewall settings, etc.);Access to MMC (Microsoft Management Console);Deny access to MMC (Microsoft Management Console;HKEY_CURRENT_USER;Software\Policies\Microsoft\MMC;RestrictAuthorMode;REG_DWORD;1;;;;;
